date,count,result
2020-12-08 05:00:00+00,7490,negative
2020-12-08 05:00:00+00,1162,positive
2020-12-09 05:00:00+00,8222,negative
2020-12-09 05:00:00+00,1132,positive
2020-12-10 05:00:00+00,8325,negative
2020-12-10 05:00:00+00,1148,positive
2020-12-11 05:00:00+00,939,positive
2020-12-11 05:00:00+00,8947,negative
2020-12-12 05:00:00+00,6115,negative
2020-12-12 05:00:00+00,514,positive
2020-12-13 05:00:00+00,362,positive
2020-12-13 05:00:00+00,5829,negative
2020-12-14 05:00:00+00,6793,negative
2020-12-14 05:00:00+00,1010,positive
2020-12-15 05:00:00+00,7326,negative
2020-12-15 05:00:00+00,1016,positive
2020-12-16 05:00:00+00,699,positive
2020-12-16 05:00:00+00,8090,negative
2020-12-17 05:00:00+00,6833,negative
2020-12-17 05:00:00+00,598,positive
2020-12-18 05:00:00+00,8284,negative
2020-12-18 05:00:00+00,813,positive
2020-12-19 05:00:00+00,464,positive
2020-12-19 05:00:00+00,6509,negative
2020-12-20 05:00:00+00,366,positive
2020-12-20 05:00:00+00,5798,negative
2020-12-21 05:00:00+00,6064,negative
2020-12-21 05:00:00+00,939,positive
2020-12-22 05:00:00+00,7649,negative
2020-12-22 05:00:00+00,916,positive
2020-12-23 05:00:00+00,841,positive
2020-12-23 05:00:00+00,7875,negative
2020-12-24 05:00:00+00,552,positive
2020-12-24 05:00:00+00,7650,negative
2020-12-25 05:00:00+00,4283,negative
2020-12-25 05:00:00+00,165,positive
2020-12-26 05:00:00+00,4346,negative
2020-12-26 05:00:00+00,408,positive
2020-12-27 05:00:00+00,3881,negative
2020-12-27 05:00:00+00,307,positive
2020-12-28 05:00:00+00,4777,negative
2020-12-28 05:00:00+00,871,positive
2020-12-29 05:00:00+00,6244,negative
2020-12-29 05:00:00+00,803,positive
2020-12-30 05:00:00+00,677,positive
2020-12-30 05:00:00+00,7178,negative
2020-12-31 05:00:00+00,7386,negative
2020-12-31 05:00:00+00,547,positive
2021-01-01 05:00:00+00,199,positive
2021-01-01 05:00:00+00,4875,negative
2021-01-02 05:00:00+00,453,positive
2021-01-02 05:00:00+00,4452,negative
2021-01-03 05:00:00+00,381,positive
2021-01-03 05:00:00+00,4035,negative
2021-01-04 05:00:00+00,6339,negative
2021-01-04 05:00:00+00,884,positive
2021-01-05 05:00:00+00,823,positive
